Leverandoer;Lev.Art.nr;Merke;Modell;Varebeskrivelse;Varegruppe;Undergruppe;MVA-klasse;Nettopris;Utsalgspris;DG;Veil. Pris eks. Mva;Mva;DB;Produsent
Musikk og elektronikk as;16002;Elixir;Phosphor Bronze NWA EL 10-47;Phosphor Bronze NANOWEB  Extra Light 10-14-23-30-39-47 Anti Rust plain steels;Tilbehør;Strenger;25 %;100,32;209;32;167;41,8;67;Elixir
Musikk og elektronikk as;16027;Elixir;Phosphor Bronze NWA CL 11-52;Phosphor Bronze NANOWEB  Custom Light 11-15-22-32-42-52 Anti Rust plain steels;Tilbehør;Strenger;25 %;100,32;209;32;167;41,8;67;Elixir
Musikk og elektronikk as;16052;Elixir;Phosphor Bronze NWA L 12-53;Phosphor Bronze NANOWEB  Light 12-16-24-32-42-53 Anti Rust plain steels;Tilbehør;Strenger;25 %;100,32;209;32;167;41,8;67;Elixir
Musikk og elektronikk as;16077;Elixir;Phosphor Bronze NWA LM 12-56;Phosphor Bronze NANOWEB  Light-Medium 12-16-24-35-45-56 Anti Rust plain steels;Tilbehør;Strenger;25 %;100,32;209;32;167;41,8;67;Elixir
Musikk og elektronikk as;16102;Elixir;Phosphor Bronze NWA M 13-56;Phosphor Bronze NANOWEB  Medium 13-17-26-35-45-56 Anti Rust plain steels;Tilbehør;Strenger;25 %;100,32;209;32;167;41,8;67;Elixir
Musikk og elektronikk as;16182;Elixir;Phosphor Bronze NWA HD L 13-53;Phosphor Bronze NANOWEB  HD Light 13-17-25-32-42-53 Anti Rust plain steels;Tilbehør;Strenger;25 %;100,32;209;32;167;41,8;67;Elixir
Musikk og elektronikk as;16152;Elixir;Phosphor Bronze NWA 12-Str L 10/10-47/27;Phosphor Bronze NANOWEB  12-String Light 10/10-14/14-23/9-30/12-39/18-47/27 Anti Rust plain steels;Tilbehør;Strenger;25 %;177,12;370;32,12972973;296;74;119;Elixir
Musikk og elektronikk as;12002;Elixir;NWE SL 9-42;NANOWEB  ELECTRIC GUITAR Super Light 9-11-16-24-32-42 Anti Rust plain steels;Tilbehør;Strenger;25 %;71,32;149;32,13422819;119;29,8;48;Elixir
Musikk og elektronikk as;12027;Elixir;NWE CL 9-46;NANOWEB  ELECTRIC GUITAR Custom Light 9-11-16-26-36-46 Anti Rust plain steels;Tilbehør;Strenger;25 %;71,32;149;32,13422819;119;29,8;48;Elixir
Musikk og elektronikk as;12052;Elixir;NWE L 10-46;NANOWEB  ELECTRIC GUITAR Light 10-13-17-26-36-46 Anti Rust plain steels;Tilbehør;Strenger;25 %;71,32;149;32,13422819;119;29,8;48;Elixir
Musikk og elektronikk as;12077;Elixir;NWE LH 10-52;NANOWEB  ELECTRIC GUITAR Light-Heavy 10-13-17-32-42-52 Anti Rust plain steels;Tilbehør;Strenger;25 %;71,32;149;32,13422819;119;29,8;48;Elixir
Musikk og elektronikk as;12102;Elixir;NWE M 11-49;NANOWEB  ELECTRIC GUITAR Medium 11-14-18-28-38-49 Anti Rust plain steels;Tilbehør;Strenger;25 %;71,32;149;32,13422819;119;29,8;48;Elixir
Musikk og elektronikk as;12152;Elixir;NWE H 12-52;NANOWEB  ELECTRIC GUITAR Heavy 12-16-24-32-42-52 Anti Rust plain steels;Tilbehør;Strenger;25 %;71,32;149;32,13422819;119;29,8;48;Elixir
Musikk og elektronikk as;12302;Elixir;NWE Baritone 12-68;NANOWEB ELECTRIC GUITAR Baritone 12-16-22-38-52-68 Anti Rust plain steels;Tilbehør;Strenger;25 %;71,32;149;32,13422819;119;29,8;48;Elixir
Musikk og elektronikk as;12057;Elixir;NWE 7-Str L 10-56;NANOWEB  ELECTRIC GUITAR 7-String Light 10-13-17-26-36-46-56 Anti Rust plain steels;Tilbehør;Strenger;25 %;100,32;209;32;167;41,8;67;Elixir
Musikk og elektronikk as;12450;Elixir;NWE 12-Str L 10/10-46/26;NANOWEB  ELECTRIC GUITAR 12-String Light 10/10-13/13-17/9-26/12-36/18-46/26 Anti Rust plain steels;Tilbehør;Strenger;25 %;162,72;340;32,14117647;272;68;109;Elixir
Musikk og elektronikk as;14002;Elixir;NWE BASS SL 40-95, 4-Str L-Scale;NANOWEB  BASS Super Light -40-60-75-95- Electric, Long Scale, 4-String Sets;Tilbehør;Strenger;25 %;287,52;600;32,08;480;120;192;Elixir
Musikk og elektronikk as;14052;Elixir;NWE BASS L 45-100, 4-Str L-Scale;NANOWEB  BASS Light -45-65-80-100- Electric, Long Scale, 4-String Sets;Tilbehør;Strenger;25 %;287,52;600;32,08;480;120;192;Elixir
Musikk og elektronikk as;14077;Elixir;NWE BASS LM 45-105, 4-Str L-Scale;NANOWEB  BASS Light/Medium -45-65-85-105- Electric, Long Scale, 4-String Sets;Tilbehør;Strenger;25 %;287,52;600;32,08;480;120;192;Elixir
Musikk og elektronikk as;14102;Elixir;NWE BASS H 50-105, 4-Str L-Scale;NANOWEB  BASS Heavy -50-70-85-105- Electric, Long Scale, 4-String Sets;Tilbehør;Strenger;25 %;287,52;600;32,08;480;120;192;Elixir
Musikk og elektronikk as;14087;Elixir;NWE BASS LM 45-105, 4-Str XL-Scale;NANOWEB  BASS Light/Medium -45-65-85-105- Electric, X- Long Scale, 4-String Set;Tilbehør;Strenger;25 %;287,52;600;32,08;480;120;192;Elixir
Musikk og elektronikk as;14502;Elixir;NWA BASS L 45-100, 4-Str L-Scale;NANOWEB  BASS Light -45-65-80-100- Acoustic Bass, Long Scale, 4 Strings, Long Scale;Tilbehør;Strenger;25 %;287,52;600;32,08;480;120;192;Elixir
Musikk og elektronikk as;14202;Elixir;NWE BASS L 45-130, 5-Str L-Scale;NANOWEB  BASS Light -45-65-85-105-130 Electric, Long Scale, 5-String Set;Tilbehør;Strenger;25 %;396,99;829;32,11218335;663;165,8;266;Elixir
Musikk og elektronikk as;14207;Elixir;NWE BASS ML 45-135, 5-Str L-Scale;NANOWEB  BASS Medium / Light -45-65-85-105-135 Electric, Long Scale, 5-String Set;Tilbehør;Strenger;25 %;396,99;829;32,11218335;663;165,8;266;Elixir
Musikk og elektronikk as;2150w;GHS;REG. CLASSIC High Tension;;Tilbehør;Strenger;25 %;68;99;11,31313131;79;19,8;11;GHS
Musikk og elektronikk as;1910LM-AM;Lee Oskar;HARMONIC MINOR A-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-ABM;Lee Oskar;HARMONIC MINOR AB-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-BM;Lee Oskar;HARMONIC MINOR B-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-BBM;Lee Oskar;HARMONIC MINOR BB-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-DM;Lee Oskar;HARMONIC MINOR D-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-DBM;Lee Oskar;HARMONIC MINOR DB-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-EM;Lee Oskar;HARMONIC MINOR E-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-EBM;Lee Oskar;HARMONIC MINOR EB-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-F#M;Lee Oskar;HARMONIC MINOR F#-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-FM;Lee Oskar;HARMONIC MINOR F-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-GM;Lee Oskar;HARMONIC MINOR G-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LM-CM;Lee Oskar;HARMONIC MINOR C-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910MM-A;Lee Oskar;MELODY MAKER, A-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910MM-C;Lee Oskar;MELODY MAKER, C-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910MM-D;Lee Oskar;MELODY MAKER, D-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910MM-E;Lee Oskar;MELODY MAKER, E-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910MM-G;Lee Oskar;MELODY MAKER, G-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-CM;Lee Oskar;NATURAL MINOR C-MOLL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-AM;Lee Oskar;NATURAL MINOR, A-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-BM;Lee Oskar;NATURAL MINOR, B-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-DM;Lee Oskar;NATURAL MINOR, D-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-EM;Lee Oskar;NATURAL MINOR, E-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-FM;Lee Oskar;NATURAL MINOR, F-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-GM;Lee Oskar;NATURAL MINOR, G-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-ABM;Lee Oskar;NATURAL MINOR,AB-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-BBM;Lee Oskar;NATURAL MINOR,BB-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-DBM;Lee Oskar;NATURAL MINOR,DB-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-EBM;Lee Oskar;NATURAL MINOR,EB-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910LN-F#M;Lee Oskar;NATURAL MINOR,F#-MOL;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-A;Lee Oskar;POWER HARP, A-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-AB;Lee Oskar;POWER HARP, AB-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-B;Lee Oskar;POWER HARP, B-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-BB;Lee Oskar;POWER HARP, BB-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-C;Lee Oskar;POWER HARP, C-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-D;Lee Oskar;POWER HARP, D-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-DB;Lee Oskar;POWER HARP, DB-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-E;Lee Oskar;POWER HARP, E-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-EB;Lee Oskar;POWER HARP, EB-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
Musikk og elektronikk as;1910L-F#;Lee Oskar;POWER HARP, F#-DUR;;Munnspill;;25 %;190,4;399;32,28070175;319;79,8;129;Lee Oskar
